['fpr', 'tpr']
['0.0', '0.0']
['0.010552309823525868', '0.3296659153295097']
['0.012238752032765162', '0.35570979044388407']
['0.013395169547672107', '0.37311700774398']
['0.014298620731193158', '0.3878685085585485']
['0.01522616394627477', '0.39954027092771544']
['0.01616575317713666', '0.41197080943560443']
['0.017069204360657713', '0.4237987904215671']
['0.018069023670421007', '0.4359392086411212']
['0.01916521110642655', '0.44848133187529293']
['0.02027344455821237', '0.4608895534379254']
['0.021393724025778472', '0.47378874779620167']
['0.022694693730048787', '0.48666562520922135']
['0.024055893513220503', '0.49958713651275416']
['0.025525507438414745', '0.5142047356557834']
['0.026995121363608987', '0.5285098975652213']
['0.02862133349394688', '0.5419893325001673']
['0.03025959164006505', '0.5551340132562654']
['0.031982171896645185', '0.5678100381619764']
['0.0336565680901042', '0.5805753308487134']
['0.03563211467807023', '0.5949028097034078']
['0.037607661266036256', '0.6077350532259145']
['0.03966752996446425', '0.6192282800330291']
['0.041655122568210565', '0.631569550759892']
['0.043666807203517434', '0.6438215537057288']
['0.04588327410708908', '0.6538195451806557']
['0.04790700475817623', '0.6642638755607132']
['0.05011142564596759', '0.6741279653641009']
['0.052219478407516715', '0.6836796179338972']
['0.054435945311088356', '0.6932089535584369']
['0.05660422815153888', '0.7025820705661809']
['0.0587725109919894', '0.7119328706286684']
['0.06104920797446245', '0.7198330692494811']
['0.063133168704451', '0.7286928965163249']
['0.0654339577184846', '0.7363029748488027']
['0.067939529000783', '0.7450065834988506']
['0.07037282418839969', '0.7529067821196634']
['0.07323977594410648', '0.7586645539958491']
['0.07627537192073722', '0.765649757861144']
['0.07899777148708065', '0.7721663058760517']
['0.08182858519544661', '0.7786382200004464']
['0.08467144491959284', '0.7849539155080453']
['0.08770704089622357', '0.7914035126871833']
['0.09071854484129374', '0.797205918453882']
['0.09380232488104559', '0.8030306411658372']
['0.09737999156778895', '0.8088999977683055']
['0.1009697042703126', '0.8137427748889732']
['0.10474010720954044', '0.819255060367337']
['0.1082575438173824', '0.823986252761722']
['0.11288321387701018', '0.8288290298823897']
['0.11737637776305487', '0.8333816867147225']
['0.12261639462747696', '0.8373764199156419']
['0.13067517918448474', '0.8409917650472003']
['0.139227850388484', '0.8445401593429891']
['0.14829850027103536', '0.8481108705840344']
['0.15640546889116425', '0.8518824343323885']
['0.16558453291573813', '0.8552969269566382']
['0.17392037583569234', '0.858800687361914']
['0.18358128049147746', '0.8623044477671896']
['0.1935794735891104', '0.8658305251177218']
['0.2027946756610251', '0.8693566024682542']
['0.21066072396554839', '0.8731951170523778']
['0.2198156959585617', '0.876631926621884']
['0.22907908209359754', '0.8802472717534424']
['0.23822200807083058', '0.8840634693923096']
['0.24732879600072277', '0.8877903992501507']
['0.25570077696801785', '0.8914950121627352']
['0.2650725772450762', '0.895088040349037']
['0.27570920917906405', '0.8985918007543128']
['0.28610492079744626', '0.9019616594880493']
['0.2975245437571523', '0.9052199334955031']
['0.3063783653556586', '0.9087013769555223']
['0.3168102150213817', '0.9120712356892589']
['0.32696500632415826', '0.9157758486018434']
['0.3385050894416672', '0.919190341226093']
['0.35061133530084926', '0.9224709321788034']
['0.3614647955188821', '0.9258631078577965']
['0.3738240077094501', '0.9291436988105068']
['0.38994157682346564', '0.9323573389274477']
['0.4047822682647714', '0.935637929880158']
['0.41903270493284345', '0.9388962038876119']
['0.4381617779919292', '0.9421544778950657']
['0.4522917545021984', '0.9454797027382892']
['0.4687586580738421', '0.9488272445267691']
['0.48705655604408843', '0.9520632015889665']
['0.5041859904836475', '0.9550759891985985']
['0.5237246280792628', '0.9582449954250262']
['0.5420707101126302', '0.9612800999799147']
['0.5630307775703186', '0.9644491062063425']
['0.5812202613985424', '0.9673726260349483']
['0.6029753658977294', '0.9704746814256064']
['0.6297657049930735', '0.9737106384878038']
['0.6528217791965307', '0.9766341583164097']
['0.6769017647413118', '0.9796023120355286']
['0.7138468951394327', '0.9825704657546475']
['0.7503101849063423', '0.9856502042000491']
['0.7855086430163224', '0.9886406748644245']
['0.8262241763536711', '0.9913633421857216']
['0.8746130217430584', '0.9943314959048405']
['0.9279045955550201', '0.9970987971166507']
['1.0', '1.0']
