['precision', 'recall']
['0.35056329212955717', '1.0']
['0.35358082016535974', '0.9992412238612779']
['0.35634172200212044', '0.997612086857551']
['0.3589921051996234', '0.9955142940034368']
['0.3617749104175638', '0.993639670601888']
['0.36456273639473924', '0.9916311455288']
['0.36747561955738206', '0.9897788390725077']
['0.3704246096168973', '0.9878595817804459']
['0.37350813131825406', '0.9861634939409494']
['0.3765848993775668', '0.9843111874846571']
['0.3796470405575586', '0.982258028521056']
['0.38274638988383136', '0.9801379187216854']
['0.3859951920113419', '0.97824097837488']
['0.38921271123846474', '0.9760762346849963']
['0.3924575478486113', '0.97379990626883']
['0.39572348085384923', '0.9714119931263808']
['0.39905335232755845', '0.9689794460934187']
['0.40237692579308293', '0.9663906804436608']
['0.405699735027155', '0.9635787453413377']
['0.4092079631301373', '0.9610346135820929']
['0.41266027181330617', '0.9581557276440001']
['0.4162818057189527', '0.9555000111584726']
['0.41999645871451335', '0.9528442946729452']
['0.42387052464988506', '0.95036711374947']
['0.4278605461706607', '0.9479122497712513']
['0.431576264274062', '0.9446539757637975']
['0.43561954894978583', '0.9418866745519873']
['0.4395456255486352', '0.9386730344350466']
['0.4433944293938368', '0.9350576893034881']
['0.44754187968232534', '0.9318886830770604']
['0.4518440509407537', '0.9287866276864023']
['0.4559373487614941', '0.9250820147738178']
['0.4599893007600918', '0.9210872815728983']
['0.4643829272975751', '0.9175835211676225']
['0.46863194046937606', '0.91354415407619']
['0.4732645457816363', '0.9099957597804013']
['0.47765550520802685', '0.9057109062911469']
['0.4823391784942643', '0.9017608069807405']
['0.48707919593121823', '0.8976544890535384']
['0.4916820248187738', '0.893079515275949']
['0.4966707399187012', '0.8889285634582338']
['0.5016201301167', '0.8844428574616706']
['0.5067341798180229', '0.8799571514651074']
['0.5117128874388255', '0.8750474235086702']
['0.5168290581295155', '0.8700707447164632']
['0.5214761936830763', '0.8640451694971992']
['0.526944714401084', '0.8591354415407619']
['0.5324427746469074', '0.8539355932959897']
['0.5380217914249328', '0.8485348925439086']
['0.5436121826242155', '0.8428663884487492']
['0.5494244793954837', '0.8372871521346158']
['0.5557774565181752', '0.8322212055613828']
['0.5620666110310295', '0.8266866031377625']
['0.5680090246013104', '0.8203039567943939']
['0.573888950110987', '0.8135419223816645']
['0.5802512716011745', '0.8070476913120133']
['0.5868341840073289', '0.8005534602423621']
['0.5932525778356191', '0.7935013055412975']
['0.5997889146125561', '0.7863152491686938']
['0.6072806255430061', '0.7799549197705818']
['0.6150106458481193', '0.7735499564819568']
['0.6232984720233457', '0.7674351134816666']
['0.6309812711880106', '0.7601374723827803']
['0.639122527847238', '0.75292909906492']
['0.6478147107277837', '0.7459215782543686']
['0.6563417731565997', '0.7381775982503515']
['0.6656166165352411', '0.7309022740967216']
['0.6749156355455568', '0.7230690263116785']
['0.6851448346577801', '0.715771385212792']
['0.6960191152615196', '0.7085853288401883']
['0.7076074724285393', '0.70162244192015']
['0.7192747120588371', '0.6940569974781852']
['0.7313436385255648', '0.6863130174741682']
['0.7446943920887082', '0.6789484255395122']
['0.7578286521103323', '0.670780423575621']
['0.7705352962596889', '0.6611171862795421']
['0.7793884727926768', '0.6479278716329309']
['0.7871585078352517', '0.6333772233256711']
['0.7947217441193345', '0.6182686513869982']
['0.8014260249554367', '0.602021915240242']
['0.8085879743716117', '0.5858198129839988']
['0.8152566767951384', '0.5688366176437769']
['0.8213810537519958', '0.551094646164833']
['0.8280795344325897', '0.5334865763574282']
['0.8328031234184079', '0.5141154678747573']
['0.8381697271971587', '0.49505679662567786']
['0.843242815295701', '0.4753955678546721']
['0.8479733943047184', '0.45522104934276597']
['0.8525035014005602', '0.4346894597067553']
['0.8558425356928338', '0.41337677698676606']
['0.8611817648209744', '0.39291213818652504']
['0.8663616036607561', '0.37182262491910106']
['0.8704484902309059', '0.349974335512955']
['0.8733920914721296', '0.32730031913231716']
['0.877617885134267', '0.3048717891495012']
['0.8802738195026544', '0.2812381441228325']
['0.882420528533129', '0.2570912093552635']
['0.8869291070211316', '0.23229708317525496']
['0.8901588531576908', '0.2050927269075409']
['0.8955327253838162', '0.17313486130018524']
['0.8998242530755711', '0.07998393179941529']
