['precision', 'recall']
['0.35088996953821816', '1.0']
['0.3534303206261045', '0.9997545136021782']
['0.35599538969039385', '0.9994867102590997']
['0.35861025012614434', '0.9992412238612779']
['0.3612900101689991', '0.9990403713539691']
['0.3639757311558606', '0.9987502510656341']
['0.3667516330762485', '0.9986163493940949']
['0.36953055947926217', '0.9983485460510165']
['0.3723669969194905', '0.9981253765984512']
['0.37529792876565177', '0.997991474926912']
['0.3782464511107727', '0.9978129393648597']
['0.3812277200702724', '0.997612086857551']
['0.38419210895115596', '0.9972326987881899']
['0.3872519699373261', '0.9969648954451115']
['0.3903698912701465', '0.9967417259925462']
['0.39354679499043743', '0.9965185565399808']
['0.3967897043008363', '0.9963177040326721']
['0.4001111469649708', '0.9961838023611328']
['0.4034299455765093', '0.9958936820727978']
['0.4068207723521634', '0.995648195674976']
['0.41025617440095663', '0.9953580753866411']
['0.413766865245068', '0.9951125889888192']
['0.4173906530856801', '0.99497868731728']
['0.4209904880652139', '0.994643933138432']
['0.42470571414954966', '0.9943984467406102']
['0.4284408876234814', '0.9940413756165056']
['0.4322532422148016', '0.9937512553281707']
['0.43621221770440405', '0.993595036711375']
['0.44021599382874776', '0.9933718672588097']
['0.4442403306643238', '0.9930147961347051']
['0.4483137460439051', '0.992635408065344']
['0.4525212435760444', '0.9923676047222656']
['0.45680522016133174', '0.9920774844339307']
['0.46113215379027656', '0.9916980963645696']
['0.46557524813700724', '0.9913410252404651']
['0.4701616574386771', '0.9911178557878998']
['0.47477221200325104', '0.9907607846637952']
['0.47939625740092484', '0.9902251779776384']
['0.4841604261729581', '0.9898011560177643']
['0.4891180850477083', '0.9895556696199425']
['0.4940695159744053', '0.9891093307148118']
['0.4991437391559071', '0.9887076257001941']
['0.5042879107112351', '0.9881720190140374']
['0.509567780413107', '0.9877033631636501']
['0.5148767257234652', '0.9871008056417238']
['0.520375732749488', '0.9865875159008235']
['0.526034474548831', '0.9861634939409494']
['0.5317568299760393', '0.985605570309536']
['0.5377091910063092', '0.985226182240175']
['0.5437506931351891', '0.9847798433350443']
['0.54987282429804', '0.9842219197036309']
['0.5561163333543625', '0.9836193621817045']
['0.5624600924577938', '0.982927536878752']
['0.5690591307495411', '0.9823696132473387']
['0.5755699814150721', '0.9814323015465644']
['0.5822444273635665', '0.9804949898457899']
['0.5891069175636862', '0.9795353611997589']
['0.5961036489205503', '0.978531098663215']
['0.6033661129934165', '0.9776607377982102']
['0.6108211454728145', '0.9767903769332054']
['0.6182219330749865', '0.975518311053583']
['0.6261989075425441', '0.9747595349148609']
['0.6341966803290602', '0.9737775893235734']
['0.6423392088663562', '0.9726617420607467']
['0.6507234246083942', '0.9715905286884331']
['0.6593031718115107', '0.9704523644803499']
['0.6681793010091066', '0.9693811511080364']
['0.6771202447667067', '0.9680421343926443']
['0.6862263493170222', '0.966435314334174']
['0.6958571313651355', '0.9652301992903212']
['0.7056430531956607', '0.9638911825749291']
['0.7155777560198476', '0.9623066794617153']
['0.725948406676783', '0.9608783949652971']
['0.7366770622708112', '0.9594277935236225']
['0.7478878882366262', '0.9581557276440001']
['0.7589755397722241', '0.9563034211877078']
['0.770753765223031', '0.9547858689102635']
['0.7830055536208508', '0.953379901359102']
['0.7959259811968363', '0.9522194202057622']
['0.808484779429917', '0.9501216273516481']
['0.8214831582409503', '0.9475774955924033']
['0.8333267638943634', '0.9436273962819969']
['0.8449287005422775', '0.9388515699970988']
['0.8556306306306306', '0.9326028253252695']
['0.8668323344540272', '0.9263763975986967']
['0.8774875356884135', '0.9191010734450669']
['0.8870813397129187', '0.9102635631234797']
['0.89623542476402', '0.9005556919368877']
['0.9044636576122722', '0.8894864870896472']
['0.9129627911292567', '0.878305697516124']
['0.9207991268447777', '0.8660760115155437']
['0.9276453163696402', '0.8526412104711107']
['0.9334377641851908', '0.837800441875516']
['0.9394765678754364', '0.8227365038273561']
['0.944691306393434', '0.806579035461626']
['0.9489133351220821', '0.7892610859425562']
['0.9534056111892741', '0.7712736280657904']
['0.9571042525956478', '0.7508982570465754']
['0.9616632261869655', '0.7277555848155505']
['0.9663725034835113', '0.6964895445111473']
['0.983560190913912', '0.49668593362940483']
