['fpr', 'tpr']
['0.0', '0.0']
['0.008877913630066856', '0.626168850007811']
['0.01005842317653436', '0.651699435381285']
['0.010998012407396254', '0.667098127608293']
['0.011612359212190568', '0.6784351357986119']
['0.012311028127446846', '0.6869155749960946']
['0.012937420948021442', '0.694592604164342']
['0.013527675721255196', '0.7022696333325894']
['0.014093838462928386', '0.7090763016358321']
['0.014756369330843823', '0.7157490682675356']
['0.015153887851593086', '0.7226226874065478']
['0.0157682346563874', '0.729072284585686']
['0.01631030536650003', '0.7350085920239238']
['0.01704511232909715', '0.7400968555424133']
['0.017647413118111185', '0.7457653596375728']
['0.018213575859784375', '0.7514561806779888']
['0.01897247485394206', '0.757280903389944']
['0.019647051737637776', '0.7641991564194693']
['0.02040595073179546', '0.7719877703139995']
['0.021188941757513704', '0.7781249302595461']
['0.022116484972595316', '0.7840389207525273']
['0.023044028187676927', '0.7897297417929434']
['0.023911341323857135', '0.7969157981655471']
['0.024875022586279587', '0.8029860072753241']
['0.025983256038065408', '0.8097926755785668']
['0.027091489489851232', '0.8154611796737262']
['0.02812744684695537', '0.8207949295900377']
['0.029115220140938383', '0.8248566136267268']
['0.03027163765584533', '0.8307929210649646']
['0.03150033126543396', '0.8348769220469102']
['0.03283743901704511', '0.8398312838938606']
['0.03405408661085346', '0.8448079626860675']
['0.03522255014154069', '0.8497400075877614']
['0.03637896765644763', '0.8542926644200942']
['0.037667891344937664', '0.8583989823472963']
['0.038872492922965726', '0.8623713986029592']
['0.040330060832379694', '0.8661652792965698']
['0.04176353671023309', '0.8698029413733848']
['0.04332951876166958', '0.8737307237385347']
['0.044823224718424384', '0.8774799705416323']
['0.046280792627838345', '0.8808051953848557']
['0.04789495874239595', '0.8842420049543619']
['0.0495452629042944', '0.8871208908924546']
['0.05106306089260977', '0.890401481845165']
['0.052653134975606815', '0.8939275591956973']
['0.05411070288502078', '0.897051931531612']
['0.0559055592362826', '0.8998638666339351']
['0.057664277540203576', '0.902452632283693']
['0.05935071974944287', '0.9051752996049901']
['0.06129012829006806', '0.9080318685978264']
['0.06312112268867072', '0.9112901426052802']
['0.06491597903993254', '0.9139904929813207']
['0.06701198578570138', '0.9166685264121047']
['0.06937300487863639', '0.9192796090071191']
['0.07139673552972355', '0.9218460577116204']
['0.0739866289224839', '0.9241447030730434']
['0.07717882310425826', '0.9266665178870316']
['0.07997349876528338', '0.9287866276864023']
['0.0828886345841113', '0.9308844205405165']
['0.08585195446606035', '0.9331384320114263']
['0.08864663012708547', '0.93530317570131']
['0.0914292597723303', '0.9376687718985025']
['0.0950430645064145', '0.9397888816978732']
['0.09887369752454375', '0.9418197237162177']
['0.10219839787990122', '0.9438728826798188']
['0.1068842980184304', '0.9458590908076503']
['0.11165452026742155', '0.9478006650449686']
['0.11862916340420405', '0.9496752884465175']
['0.12672408600855267', '0.9511928407239617']
['0.1373727639583208', '0.9528889285634582']
['0.15181593687887732', '0.9546296502934678']
['0.1637896765644763', '0.9562811042424513']
['0.1738240077094501', '0.9580887768082305']
['0.18733963741492501', '0.9596955968667009']
['0.19960248147925075', '0.9613470508156844']
['0.21062458591820754', '0.9629315539288982']
['0.22204420887791362', '0.9646276417683948']
['0.23641510570378846', '0.9662121448816086']
['0.24778654460037342', '0.967818964940079']
['0.26078419562729627', '0.9694704188890625']
['0.27667289044148646', '0.9710549220022763']
['0.2925495392398964', '0.9726617420607467']
['0.30812503764379934', '0.974179294338191']
['0.32749503101849065', '0.9757861143966614']
['0.34211889417575136', '0.9773929344551318']
['0.36180208396073', '0.978865852842063']
['0.37884719628982716', '0.9804280390100203']
['0.3973619225441185', '0.9819679082327211']
['0.42288742998253326', '0.9835970452364481']
['0.45377341444317293', '0.9850699636233793']
['0.48664699150755886', '0.9864312972840278']
['0.5157260736011564', '0.9878372648351894']
['0.5520809492260434', '0.9893548171126336']
['0.5878576160934771', '0.9906491999375125']
['0.6309582605553213', '0.9918766319266219']
['0.6761910498102752', '0.9932156486420138']
['0.7319641028729748', '0.9945323484121493']
['0.787725109919894', '0.9958044142917717']
['0.8594229958441245', '0.9971434310071637']
['0.9222188761067277', '0.9984154968867861']
['0.9868939348310546', '0.9997545136021782']
