['precision', 'recall']
['0.36394278798905144', '1.0']
['0.36758601453674383', '0.9999776830547434']
['0.37137600079566363', '0.9999776830547434']
['0.3751726909648087', '0.9999776830547434']
['0.3790510189407077', '0.9999776830547434']
['0.3830070946234721', '0.9999776830547434']
['0.38704466730588166', '0.999955366109487']
['0.39116504430573135', '0.9999330491642304']
['0.3953812620785203', '0.9999107322189739']
['0.39969312018270053', '0.9998884152737173']
['0.40408395190894086', '0.9998437813832043']
['0.4085781251424976', '0.9998214644379477']
['0.4131589626295791', '0.9997545136021782']
['0.4178217637072552', '0.9996429288758955']
['0.42262837085542826', '0.9995982949853824']
['0.4275172782465921', '0.9994643933138432']
['0.4325149226341105', '0.9993528085875605']
['0.4376612714051138', '0.9993081746970475']
['0.44290123456790126', '0.9991742730255083']
['0.4482306290429175', '0.9989734205181995']
['0.4537418138318363', '0.9988618357919168']
['0.4593851049633013', '0.9987056171751211']
['0.4651842149035263', '0.9986163493940949']
['0.47107942759063676', '0.9983931799415297']
['0.4770753770988458', '0.9980584257626816']
['0.4832356946756307', '0.9977459885290901']
['0.48942975441978664', '0.9971657479524203']
['0.4959198854237213', '0.9968533107188288']
['0.5026564012516602', '0.9966078243210069']
['0.5094787541230583', '0.9962061193063894']
['0.5165065401088089', '0.9958044142917717']
['0.5236188575118886', '0.9952018567698453']
['0.5310824656293931', '0.9948447856457409']
['0.5384568886309783', '0.993974424780736']
['0.5462990232170029', '0.9935280858756054']
['0.5543042232465429', '0.992970162244192']
['0.5625363730674832', '0.992300653886496']
['0.5710063353765886', '0.9916311455288']
['0.5796634069277069', '0.9908054185543083']
['0.5886653751227409', '0.9900466424155862']
['0.5978552640453227', '0.9891316476600683']
['0.6074201069812097', '0.9883505545760897']
['0.6170574860155956', '0.9871900734227499']
['0.6270508089696282', '0.9860072753241537']
['0.6372551851637877', '0.984645941663505']
['0.6477576826937215', '0.9831507063313174']
['0.6585511933638787', '0.9815438862728469']
['0.669610445074891', '0.9797362137070678']
['0.6809258079057404', '0.9776161039076972']
['0.6925002772980082', '0.9753174585462742']
['0.7042549409350204', '0.9725724742797206']
['0.7162948673558557', '0.9695373697248321']
['0.7282716610294984', '0.9658550737575041']
['0.7406478219778332', '0.9619049744470977']
['0.7533133217476785', '0.9577093887388695']
['0.7660799827762528', '0.9529112455087148']
['0.7789906254013099', '0.9476221294829164']
['0.7920569079749995', '0.9417750898257047']
['0.8044647660032276', '0.9344997656720748']
['0.8173428830034237', '0.9270235890111361']
['0.8299326585749426', '0.9186324175946796']
['0.8423892817268329', '0.9092593005869357']
['0.8544575041371409', '0.8987926532616215']
['0.8662367652825584', '0.8873663772902765']
['0.8769334079462787', '0.8743109643152045']
['0.8866226202260641', '0.8595148296101229']
['0.8957133717210493', '0.8435805306969582']
['0.90498278850614', '0.8272668437144324']
['0.9124008560997104', '0.8086768283157402']
['0.9191879808692036', '0.7891941351067866']
['0.9258642456149776', '0.7692427860474458']
['0.9317733374093322', '0.748242540561048']
['0.9370808508188699', '0.7265727867169541']
['0.9417403248924988', '0.7038095025552902']
['0.9462208851533667', '0.6808676828315741']
['0.9505838333010773', '0.657680376710036']
['0.9550648652282047', '0.6341806333549064']
['0.9593068126008559', '0.6102791849851592']
['0.9627333749037157', '0.5857528621482292']
['0.9654483262231446', '0.5606016648441161']
['0.9692164931816348', '0.5361199758976991']
['0.9717610089600408', '0.5107009752505077']
['0.9732807316417108', '0.4845008815193376']
['0.9751328777524677', '0.45856859113124593']
['0.9775099591548586', '0.4326139837978977']
['0.9784304233231134', '0.4059452342163405']
['0.9805209774089442', '0.3797005065946573']
['0.9828667204668198', '0.3533441942466915']
['0.984994280331068', '0.32667544466513426']
['0.9880349409087572', '0.300386083152938']
['0.9895008883863673', '0.2734272132830458']
['0.9906659486627176', '0.2463344417416144']
['0.9911093150131339', '0.21892923296659153']
['0.9923866651286192', '0.19199268004195585']
['0.9936666217490904', '0.16456515432167645']
['0.9953112368633792', '0.1373831149992189']
['0.9967591654851125', '0.1098216876074003']
['0.9978360833107925', '0.0823272110513513']
['0.9987829614604462', '0.05494431922158495']
['0.9991922455573505', '0.027606061282331673']
['1.0', '0.00026780334307839945']
