['fpr', 'tpr']
['0.0', '0.0']
['0.00032524242606757814', '0.13541922381664398']
['0.000879359151960489', '0.20513736079805397']
['0.001469613925194242', '0.2687183378339173']
['0.0022285129193519242', '0.3070142158941284']
['0.003011503945070168', '0.34057890155995446']
['0.003854725049689815', '0.3718895757548707']
['0.0047702222489911465', '0.40427146332210045']
['0.0055773053062699515', '0.43803700149523533']
['0.006504848521351563', '0.46410319355486623']
['0.0074805757995542975', '0.4964627641768395']
['0.008396072998855628', '0.5201856769845343']
['0.009480214419080889', '0.5399361735365663']
['0.010600493886646991', '0.556830101095762']
['0.011612359212190568', '0.5742150014506014']
['0.012563994458832741', '0.5916668526412104']
['0.013660181894838282', '0.607043227922962']
['0.014768415346624104', '0.6191166953067464']
['0.015852556766849366', '0.6327746658037448']
['0.017153526471119677', '0.6435537503626504']
['0.018237667891344938', '0.6555379499654087']
['0.019502499548274408', '0.6687272646120199']
['0.02077937722098416', '0.6795063491709254']
['0.021899656688550262', '0.6908210404159879']
['0.02308016623501777', '0.7001718404784754']
['0.02435704390772752', '0.7111071436541766']
['0.025670059627778113', '0.7218192773773126']
['0.02705535144251039', '0.7313709299471088']
['0.028284045052099017', '0.7402977080497222']
['0.029597060772149613', '0.7483541252873307']
['0.03081370836595796', '0.7561204222366043']
['0.03209058603866771', '0.7644446428172912']
['0.03346383183761971', '0.7704255841460421']
['0.03492139974703367', '0.7769644491062063']
['0.036282599530205385', '0.7837264835189359']
['0.0375835692344757', '0.7896851079024303']
['0.0389568150334277', '0.7968488473297775']
['0.04036619887972053', '0.8027405208775023']
['0.0418839968680359', '0.8082974402463791']
['0.043486116966813225', '0.8138543596152559']
['0.04496777690778775', '0.8199022517797764']
['0.04638920676986087', '0.8258385592180142']
['0.04807564897910016', '0.8308821888459907']
['0.049701861109438056', '0.8355017965140932']
['0.05149671746069987', '0.8401883550179652']
['0.05339998795398422', '0.845120399919659']
['0.05518279828946576', '0.8500078109308398']
['0.056845148467144495', '0.8540918119127854']
['0.058989339276034454', '0.858510567073579']
['0.06080828765885683', '0.8629293222343726']
['0.0626392820574595', '0.8669910062710616']
['0.06448232247184243', '0.8715436631033944']
['0.06702403180148166', '0.8758954674284184']
['0.06945732698909836', '0.8798455667388247']
['0.07175811600313196', '0.8836171304871789']
['0.07396253689092333', '0.8874110111807896']
['0.07652833825212312', '0.8909147715860652']
['0.07898572547130037', '0.8948425539512151']
['0.08210564355839306', '0.8981231449039255']
['0.08517737758236463', '0.9012921511303533']
['0.08780340902246582', '0.904461157356781']
['0.09041739444678673', '0.9079426008168002']
['0.09299524182376678', '0.9107099020286104']
['0.0963560802264651', '0.9136334218572162']
['0.09948804432933807', '0.9169586467004397']
['0.10296934288983918', '0.9197482648575063']
['0.1060772149611516', '0.9229172710839341']
['0.10996807805818226', '0.9258184739672833']
['0.11412395350237908', '0.92860809212435']
['0.11827982894657592', '0.9312638086098775']
['0.12224296813828826', '0.9340534267669441']
['0.1267120399927724', '0.9368653618692674']
['0.13060290308980305', '0.9398335155883862']
['0.13485514666024212', '0.9426231337454529']
['0.14001084141420225', '0.9451672655046978']
['0.14550382461001024', '0.9478006650449686']
['0.1511895440583027', '0.9501662612421612']
['0.15645365295428537', '0.9525988082751233']
['0.16338011202794675', '0.9549420875270593']
['0.16892127928687586', '0.9574639023410476']
['0.17620911883394566', '0.9599187663192662']
['0.18314762392338735', '0.9622397286259456']
['0.19019454315485154', '0.9645160570421121']
['0.19798831536469313', '0.9668816532393046']
['0.20575799554297416', '0.9691356647102145']
['0.21573209660904655', '0.9714343100716374']
['0.2254773233752936', '0.9736883215425473']
['0.23663193398783353', '0.9757861143966614']
['0.2500391495512859', '0.9779285411412886']
['0.2630006625308679', '0.9800263339954027']
['0.2787086671083539', '0.9820794929590038']
['0.29719930133108474', '0.9841996027583745']
['0.31982171896645184', '0.9862750786672321']
['0.34275733301210626', '0.9882166529045504']
['0.37472745889297115', '0.9901359101966123']
['0.4110823345178582', '0.9919882166529046']
['0.4513039812082154', '0.9937289383829141']
['0.49987351683430703', '0.9956705126202325']
['0.5639703668011805', '0.9972996496239594']
['0.6558694211889418', '0.9989064696824299']
['1.0', '1.0']
