['precision', 'recall']
['0.3695282863269009', '1.0']
['0.3732174985006997', '0.999955366109487']
['0.37696987034403845', '0.9998884152737173']
['0.38081597960051', '0.9998660983284609']
['0.3847276849355066', '0.9997991474926912']
['0.3887230571656659', '0.9997545136021782']
['0.392800771659067', '0.9996875627664086']
['0.3969424380732929', '0.9995536610948693']
['0.4011968001719952', '0.9994867102590997']
['0.40548592748216034', '0.9992858577517909']
['0.4099099099099099', '0.9991742730255083']
['0.41434919459359376', '0.9988618357919168']
['0.41888551848106953', '0.9985047646678122']
['0.4234851856411033', '0.9980807427079381']
['0.4281951322305342', '0.997656720748064']
['0.4330345462473957', '0.9972773326787029']
['0.4378817738820092', '0.9966747751567765']
['0.44290647139370126', '0.9961614854158762']
['0.4481023591206275', '0.9957374634560021']
['0.453347701441555', '0.9952018567698453']
['0.45866139706260745', '0.9945323484121493']
['0.46409663164915793', '0.9937958892186838']
['0.46959669843682383', '0.9929032114084224']
['0.4752017961190998', '0.9919435827623915']
['0.48098606041569636', '0.9910509049521301']
['0.48693495462077896', '0.9902028610323819']
['0.49286548406828673', '0.9889977459885291']
['0.49903619618762046', '0.9879711665067286']
['0.5052169639898061', '0.9865875159008235']
['0.5116287154528072', '0.9853154500212011']
['0.5180040426832134', '0.9836863130174742']
['0.5246939335057875', '0.9822803454663126']
['0.5313683039223986', '0.9804503559552769']
['0.5384851423170867', '0.9790890222946284']
['0.5456652007624363', '0.9774822022361579']
['0.5527517423696227', '0.9752505077105046']
['0.5599799617217506', '0.9729072284585686']
['0.5676895777882156', '0.9710102881117633']
['0.5751497958534387', '0.9682653038452097']
['0.5829089537358877', '0.9655872704144257']
['0.5910379490269656', '0.963132406436207']
['0.5993009038116061', '0.9603874221696534']
['0.6077084336666762', '0.9574639023410476']
['0.6163568237498198', '0.9544734316766721']
['0.6250568340153415', '0.951081255997679']
['0.6339201720198898', '0.9474212769756076']
['0.6431971289101112', '0.9439175165703318']
['0.6527652982184353', '0.9403468053292865']
['0.6621674954613623', '0.9360842687852887']
['0.6719290622636348', '0.9317994152960343']
['0.6818420534366179', '0.9271798076279318']
['0.6919200375033485', '0.9222923966167511']
['0.7023479954885676', '0.917226450043518']
['0.7131140389145799', '0.9119819679082327']
['0.7233670849971477', '0.9055770046196077']
['0.7340729809987065', '0.8992389921667522']
['0.7450867159702688', '0.8926108594255618']
['0.7561129004593014', '0.8854024861077016']
['0.766203613376517', '0.8764087571693187']
['0.7768053390880391', '0.867593563792988']
['0.7869664946342263', '0.857550938427548']
['0.7977110457790845', '0.8477537994599299']
['0.8079682820142645', '0.8368184962842287']
['0.818304529662986', '0.8252806355866009']
['0.828080945884493', '0.8127608292976858']
['0.8382593649160548', '0.8000401705014618']
['0.847584895670381', '0.7859581780445892']
['0.8571251456768082', '0.7714298466825861']
['0.8656456932477693', '0.755607132495704']
['0.8734431074519738', '0.7386908879912517']
['0.8804973143932164', '0.7207034301144859']
['0.8884909331904453', '0.7030953603070812']
['0.8955637977862796', '0.6843491262915932']
['0.9017559794126552', '0.6647102144658439']
['0.9083335952972242', '0.6448481331875293']
['0.9144771241830065', '0.6244950791135709']
['0.9194103026795138', '0.6026467897074248']
['0.9250115448829527', '0.5811332544801268']
['0.9305607129595247', '0.5592626481287242']
['0.9357862393528061', '0.5369457028721909']
['0.9400955531054759', '0.5137807136959093']
['0.9437709569254579', '0.48994621616193174']
['0.9482469270195492', '0.4665580575330849']
['0.9510660776027661', '0.44198710080564174']
['0.9551553492168767', '0.41781784909281616']
['0.9599891126837234', '0.3935593295989645']
['0.9633584223116868', '0.3684750831306211']
['0.9658033693738999', '0.3428775469213774']
['0.9679727427597956', '0.31701220736905533']
['0.9703257474341812', '0.2911691847619898']
['0.9732580961727183', '0.2655939654980026']
['0.9758467265958413', '0.23984021067196323']
['0.9776325196609131', '0.21361779999553662']
['0.9800490024501225', '0.1874623401548796']
['0.9824489795918367', '0.16115066169742687']
['0.984178763660088', '0.13466044767792185']
['0.9859384552679845', '0.10796938115110803']
['0.9872559652928417', '0.0812559976790377']
['0.9894651539708266', '0.05449798031645428']
['0.9959967974379503', '0.02776227989912741']
['1.0', '0.000937311700774398']
