['fpr', 'tpr']
['0.0', '0.0']
['0.0008311750888393664', '0.10736682362918164']
['0.0018550864301632235', '0.1746524135776295']
['0.0029874119135096066', '0.2263384587917606']
['0.004264289586219358', '0.27719877703139995']
['0.005456845148467144', '0.3112321185476132']
['0.0066012166475938085', '0.34470753643241314']
['0.007866048304523279', '0.3746791939119373']
['0.00915497199301331', '0.3989153964605325']
['0.01057640185508643', '0.4177062643665335']
['0.012082153827621515', '0.43783614898792655']
['0.013539721737035475', '0.46294271240152646']
['0.01505751972535084', '0.48177821419804057']
['0.016647593808347887', '0.5008592023923766']
['0.01810516171776185', '0.5190921466669642']
['0.019815695958561707', '0.5358521725546207']
['0.021526230199361562', '0.5512731817268852']
['0.023164488345479732', '0.564574081099779']
['0.02488706860205987', '0.5779419313084425']
['0.026766247063783652', '0.5898368631301747']
['0.028512919351924352', '0.6026021558169118']
['0.03023549960850449', '0.6146979401459528']
['0.031982171896645185', '0.6273516481064072']
['0.03386135035836897', '0.6376174429244125']
['0.03578871288321388', '0.6484634783190877']
['0.03763175329759682', '0.6584391528487581']
['0.03973980605914594', '0.6677899529112455']
['0.041667168583990846', '0.6775647749336071']
['0.043666807203517434', '0.6871610613939164']
['0.045594169728362346', '0.6957307683724252']
['0.04789495874239595', '0.7042112075699078']
['0.05005119556706619', '0.7112410453257159']
['0.05212311028127447', '0.7185386864246022']
['0.05432753116906583', '0.7264612019906715']
['0.056399445883274106', '0.7345399361735365']
['0.05859182075528519', '0.7416367247651141']
['0.06096488586400048', '0.7493583878238746']
['0.06341022706739746', '0.7559195697292954']
['0.06597602842859725', '0.762636970251512']
['0.06842136963199422', '0.7692874199379589']
['0.07099921700897428', '0.7751790934856837']
['0.07396253689092333', '0.7809145484166128']
['0.07650424622056255', '0.7866723202927983']
['0.07894958742395952', '0.7920730210448794']
['0.08200927543215082', '0.7970273828918297']
['0.08482804312473649', '0.8026735700417327']
['0.08799614527495031', '0.8078957352317615']
['0.09126061555140637', '0.8130286326407641']
['0.09451303981208216', '0.8178714097614318']
['0.09757272782027344', '0.8232274766229999']
['0.10070469192314642', '0.8280925706889241']
['0.10422212853098838', '0.8325113258497177']
['0.10767933505992892', '0.837086299627307']
['0.11117267963621032', '0.841438103952331']
['0.11477443835451424', '0.8459461268941507']
['0.11848461121484069', '0.8503648820549443']
['0.12218273805938686', '0.8545381508179161']
['0.1263265674878034', '0.8586444687451181']
['0.13028970667951575', '0.8630855408511683']
['0.1341805697765464', '0.8670579571068312']
['0.1379871107631151', '0.8712981767055725']
['0.1432873577064386', '0.8753598607422616']
['0.14753960127687768', '0.879354593943181']
['0.15230982352586883', '0.8835501796514094']
['0.15721255194844305', '0.8872324756187373']
['0.1626091670180088', '0.8907808699145261']
['0.1682226103716196', '0.8949318217322413']
['0.17412515810395712', '0.8983239974112344']
['0.18003975185207494', '0.90182775781651']
['0.18627958802626032', '0.9053092012765293']
['0.19318195506836114', '0.9091253989153965']
['0.19904836475335783', '0.9125175745943895']
['0.2066132626633741', '0.9159097502733826']
['0.21482864542552552', '0.9192572920618626']
['0.2223212672408601', '0.9225601999598295']
['0.2307173402397157', '0.9259077417483095']
['0.23875203276516294', '0.9292999174273026']
['0.24766608444257063', '0.9326251422705261']
['0.25707402276696983', '0.935682563770671']
['0.2663012708546648', '0.9391640072306903']
['0.27655243028368365', '0.9422883795666049']
['0.2888514123953502', '0.94534580106675']
['0.29936758417153525', '0.9486040750742039']
['0.3102451364211287', '0.9517730813006315']
['0.3219779557911221', '0.9546966011292374']
['0.33445762813949287', '0.9578432904104086']
['0.34874420285490576', '0.960789127184271']
['0.3632716978859242', '0.963801914793903']
['0.37879901222670603', '0.9667923854582785']
['0.3932542311630428', '0.969827490013167']
['0.41035957357104136', '0.9726394251154902']
['0.42782629645244835', '0.9756075788346091']
['0.44840089140516776', '0.9786203664442411']
['0.4729747635969403', '0.9812983998750251']
['0.49756068180449314', '0.9840657010868352']
['0.52403782448955', '0.9868330022986453']
['0.5564777449858459', '0.9896449374009686']
['0.598108775522496', '0.992345287777009']
['0.6443172920556526', '0.9950456381530496']
['0.7128229837981088', '0.9975005021312683']
['0.8434138408721316', '0.999709879711665']
